t,frame,id,class,dist,vel,alert
12.0,360,0,car,22.0,,safe
12.0,360,1,car,22.0,,safe
12.0,360,2,car,0.0,,safe
12.0,360,3,car,12.200000000000003,,safe
12.033333333333333,361,0,car,22.0,0.0,safe
12.033333333333333,361,1,car,8.8,396.0,safe
12.033333333333333,361,2,car,0.0,0.0,safe
12.033333333333333,361,3,car,4.880000000000002,219.60000000000002,safe
12.066666666666666,362,0,car,22.0,0.0,safe
12.066666666666666,362,1,car,3.5200000000000005,158.4,safe
12.066666666666666,362,3,car,1.9520000000000008,87.84000000000003,safe
12.066666666666666,362,2,car,0.0,0.0,danger
12.066666666666666,362,4,car,0.0,,safe
12.1,363,0,car,22.0,0.0,safe
12.1,363,1,car,1.4080000000000004,63.36,danger
12.1,363,3,car,0.7808000000000004,35.13600000000002,danger
12.1,363,2,car,0.6,-18.0,danger
12.133333333333333,364,0,car,22.0,0.0,safe
12.133333333333333,364,1,car,0.5632000000000001,25.34400000000001,danger
12.133333333333333,364,3,car,0.31232000000000015,14.054400000000006,danger
12.133333333333333,364,2,car,0.24,10.799999999999999,danger
12.166666666666666,365,0,car,22.0,0.0,safe
12.166666666666666,365,1,car,0.22528000000000006,10.137600000000003,danger
12.166666666666666,365,2,car,0.096,4.319999999999999,danger
12.166666666666666,365,3,car,0.12492800000000007,5.621760000000003,danger
12.2,366,0,car,22.0,0.0,safe
12.2,366,1,car,0.6901120000000001,-13.94496,danger
12.2,366,3,car,0.04997120000000003,2.2487040000000014,danger
12.2,366,2,car,0.038400000000000004,1.728,danger
12.233333333333333,367,0,car,22.0,0.0,safe
12.233333333333333,367,1,car,0.27604480000000003,12.422016000000001,danger
12.233333333333333,367,3,car,0.019988480000000013,0.8994816000000004,danger
12.233333333333333,367,2,car,0.61536,-17.3088,danger
12.266666666666667,368,0,car,22.0,0.0,safe
12.266666666666667,368,1,car,0.11041792000000002,4.968806400000001,danger
12.266666666666667,368,3,car,0.007995392000000006,0.3597926400000002,danger
12.266666666666667,368,2,car,14.046143999999998,-402.92351999999994,danger
12.3,369,0,car,22.0,0.0,safe
12.3,369,1,car,0.04416716800000001,1.9875225600000004,danger
12.3,369,3,car,0.0031981568000000026,0.1439170560000001,danger
12.3,369,2,car,18.8184576,-143.169408,danger
12.333333333333334,370,0,car,22.0,0.0,safe
12.333333333333334,370,1,car,12.0176668672,-359.20499097600003,danger
12.333333333333334,370,3,car,0.0012792627200000012,0.057566822400000044,danger
